"Always","întotdeauna","module","Magento_Captcha"
"After number of attempts to login","După un număr de încercări de conectare","module","Magento_Captcha"
"Provided form does not exist","Formularul furnizat nu există","module","Magento_Captcha"
"Incorrect CAPTCHA","CAPTCHA incorect","module","Magento_Captcha"
"Incorrect CAPTCHA.","CAPTCHA incorect","module","Magento_Captcha"
"Please enter the letters from the image","Intoduceți literele din imagine","module","Magento_Captcha"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Atenție</strong>: Captcha este sensibil la majuscule.","module","Magento_Captcha"
"Reload captcha","Reîncărcați captcha","module","Magento_Captcha"
"Please type the letters below","Tastați literele de mai jos","module","Magento_Captcha"
"CAPTCHA","CAPTCHA","module","Magento_Captcha"
"Enable CAPTCHA in Admin","Activați CAPTCHA în administrator","module","Magento_Captcha"
"Font","Font","module","Magento_Captcha"
"Forms","Forme","module","Magento_Captcha"
"Displaying Mode","Mod de afișare","module","Magento_Captcha"
"Number of Unsuccessful Attempts to Login","Număr de încercări de conectare eșuate","module","Magento_Captcha"
"If 0 is specified, CAPTCHA on the Login form will be always available.","Dacă 0 este specificat, CAPTCHA în forma de conectare va fi întotdeauna disponibil.","module","Magento_Captcha"
"CAPTCHA Timeout (minutes)","ExpirareCAPTCHA (minute)","module","Magento_Captcha"
"Number of Symbols","Număr de simboluri","module","Magento_Captcha"
"Please specify 8 symbols at the most. Range allowed (e.g. 3-5)","Specificați cel mult 8 simboluri. Interval permis (e.g. 3-5)","module","Magento_Captcha"
"Symbols Used in CAPTCHA","Simboluri utilizate în CAPTCHA","module","Magento_Captcha"
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.","Folosiți numai litere (a-z sau A-Z) sau numere (0-9) în acest câmp. Spațiile sau alte caractere nu sunt permise.<br />Caracterele cu aspect similar (e.g. ""i"", ""l"", ""1"") scad șansele recunoașterii corecte de către client.","module","Magento_Captcha"
"Case Sensitive","Sensibil la majuscule","module","Magento_Captcha"
"Enable CAPTCHA on Storefront","Activați CAPTCHA în vitrină","module","Magento_Captcha"
"CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen.","CAPTCHA pentru formele ""Creați utilizator"" și ""Am uitat parola"" este întotdeaua activat dacă este ales.","module","Magento_Captcha"
