"Conditions Combination","Combinare condiții","module","Magento_CatalogWidget"
"Product Attribute","Atribut produs","module","Magento_CatalogWidget"
"SKU","Unitate de înmagazinare","module","Magento_CatalogWidget"
"Please choose a condition to add.","Alegeți o condiție de adăugat.","module","Magento_CatalogWidget"
"Add to Cart","Adăugați în coș","module","Magento_CatalogWidget"
"In stock","In stoc","module","Magento_CatalogWidget"
"Out of stock","Epuizat din stoc","module","Magento_CatalogWidget"
"Add to Wish List","Lista de dorințe","module","Magento_CatalogWidget"
"Add to Compare","Comparați","module","Magento_CatalogWidget"
"Catalog Products List","Listă produse catalog","module","Magento_CatalogWidget"
"List of Products","Listă de produse","module","Magento_CatalogWidget"
"Title","Titlu","module","Magento_CatalogWidget"
"Display Page Control","Control pagină afișare","module","Magento_CatalogWidget"
"Number of Products per Page","Număr de produse pe pagină","module","Magento_CatalogWidget"
"Number of Products to Display","Număr de produse de afișat","module","Magento_CatalogWidget"
"Template","șablon","module","Magento_CatalogWidget"
"Products Grid Template","șablon grilă produse","module","Magento_CatalogWidget"
"Cache Lifetime (Seconds)","Termen Cache (Secunde)","module","Magento_CatalogWidget"
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","86400 implicit, dacă nu este setat. Pentru a reîmprospăta instant, eliminați cache-ul Output al blocurilor HTML.","module","Magento_CatalogWidget"
"Conditions","Condiții","module","Magento_CatalogWidget"
