"Grouped Products","Produse grupate","module","Magento_GroupedProduct"
"Please specify the quantity of product(s).","Specificați cantitatea de produs(e).","module","Magento_GroupedProduct"
"Cannot process the item.","Articolul nu poate fi procesat.","module","Magento_GroupedProduct"
"Associated Products","Produse asociate","module","Magento_GroupedProduct"
"Availability:","Disponibilitate:","module","Magento_GroupedProduct"
"Out of stock","Epuizat din stoc","module","Magento_GroupedProduct"
"ID","ID","module","Magento_GroupedProduct"
"SKU","Unitate de înmagazinare","module","Magento_GroupedProduct"
"Product Name","Nume produs","module","Magento_GroupedProduct"
"Price","Preț","module","Magento_GroupedProduct"
"Qty","Cantitate","module","Magento_GroupedProduct"
"No options of this product are available.","Nu sunt disponibile opțiuni pentru acest produs.","module","Magento_GroupedProduct"
"There are no grouped products.","Nu există produse grupate.","module","Magento_GroupedProduct"
"Name","Nume","module","Magento_GroupedProduct"
"Default Qty","Cantitate implicită","module","Magento_GroupedProduct"
"Starting at","începând de la","module","Magento_GroupedProduct"
"Availability","Disponibilitate","module","Magento_GroupedProduct"
"In stock","în stoc","module","Magento_GroupedProduct"
"Grouped product items","Articole produs grupate","module","Magento_GroupedProduct"
"Add Products to Group","Adăugați produse la grup","module","Magento_GroupedProduct"
"Add Selected Products","Adăugați produsele selectate","module","Magento_GroupedProduct"
"Grouped Product Image","Imagine produs grupată","module","Magento_GroupedProduct"
