"You saved the alert subscription.","Ați salvat această abonare la alerte.","module","Magento_ProductAlert"
"There are not enough parameters.","Nu există suficienți parametri.","module","Magento_ProductAlert"
"We can't update the alert subscription right now.","Nu se poate actualiza această abonare la alerte pentru moment.","module","Magento_ProductAlert"
"Alert subscription has been saved.","Abonarea la alerte a fost salvată.","module","Magento_ProductAlert"
"You deleted the alert subscription.","Ați șters abonarea la alerte.","module","Magento_ProductAlert"
"We can't find the product.","Nu se poate găsi produsul.","module","Magento_ProductAlert"
"You will no longer receive price alerts for this product.","Nu veți mai primi alerte de preț pentru acest produs.","module","Magento_ProductAlert"
"Unable to update the alert subscription.","Imposibil de actualizat abonările la alerte.","module","Magento_ProductAlert"
"You will no longer receive stock alerts for this product.","Nu veți mai primi alerte de stoc pentru acest produs.","module","Magento_ProductAlert"
"The product was not found.","Produsul nu a fost găsit.","module","Magento_ProductAlert"
"You will no longer receive stock alerts.","Nu veți mai primi alerte de stoc.","module","Magento_ProductAlert"
"Invalid block type: %1","Tip bloc nevalid: %1","module","Magento_ProductAlert"
"Price change alert! We wanted you to know that prices have changed for these products:","Alertă modificare preț! Dorim să vă informăm că s-au modificat prețurile pentru produsele:","module","Magento_ProductAlert"
"Price:","Preț:","module","Magento_ProductAlert"
"Click here to stop alerts for this product.","Faceți click aici pentru a opri alertele pentru acest produs.","module","Magento_ProductAlert"
"Unsubscribe from all price alerts","Dezabonare de la toate alertele de preț.","module","Magento_ProductAlert"
"In stock alert! We wanted you to know that these products are now available:","Alertă stoc! Dorim să vă informăm că aceste produse sunt acum disponibile:","module","Magento_ProductAlert"
"Unsubscribe from all stock alerts","Dezabonare de la toate alertele de stoc","module","Magento_ProductAlert"
"Product alerts cron warnings","Avertismente cron alerte produs.","module","Magento_ProductAlert"
"%name,","%name,","module","Magento_ProductAlert"
"Product Alerts","Alerte produs","module","Magento_ProductAlert"
"Allow Alert When Product Price Changes","Permiteți Alerte la Modificarea de Preț a Produsului","module","Magento_ProductAlert"
"Allow Alert When Product Comes Back in Stock","Permiteți Alerte la Revenirea în Stoc a Produsului","module","Magento_ProductAlert"
"Price Alert Email Template","șablon Email Alertă de Preț","module","Magento_ProductAlert"
"Email template chosen based on theme fallback when ""Default"" option is selected.","șablon email ales pe baza temei fallback atunci când opțiunea ""Implicit"" este selectată.","module","Magento_ProductAlert"
"Stock Alert Email Template","șablon Email Alertă Stoc","module","Magento_ProductAlert"
"Alert Email Sender","Alertați Expeditorul Email-ului","module","Magento_ProductAlert"
"Product Alerts Run Settings","Setări Rulare Alerte Produs","module","Magento_ProductAlert"
"Frequency","Frecvență","module","Magento_ProductAlert"
"Start Time","Dată de început","module","Magento_ProductAlert"
"Error Email Recipient","Eroare Email Destinatar","module","Magento_ProductAlert"
"Error Email Sender","Eroare Email Expeditor","module","Magento_ProductAlert"
"Error Email Template","șablon Eroare Email","module","Magento_ProductAlert"
"Sign up for price alert","înscriere pentru alertă de preț","module","Magento_ProductAlert"
"Sign up to be notified when this product is back in stock.","înscriere pentru notificare la revenirea acestui produs în stoc.","module","Magento_ProductAlert"
