"Apply","Aplică","module","Magento_Rule"
"Please choose a valid discount amount.","Alegeți o sumă de reducere validă.","module","Magento_Rule"
"End Date must follow Start Date.","Data de sfârșit trebuie să urmeze Data de început.","module","Magento_Rule"
"Please specify a website.","Specificați un website.","module","Magento_Rule"
"Please specify Customer Groups.","Specificați Grupurile de clienți.","module","Magento_Rule"
"to","la","module","Magento_Rule"
"by","de","module","Magento_Rule"
"Please choose an action to add.","Alegeți o acțiune de adăugat.","module","Magento_Rule"
"Perform following actions","Efectuați următoarele acțiuni","module","Magento_Rule"
"is","este","module","Magento_Rule"
"is not","nu este","module","Magento_Rule"
"equals or greater than","egal sau mai mare decât","module","Magento_Rule"
"equals or less than","egal sau mai mic decât","module","Magento_Rule"
"greater than","mai mare decât","module","Magento_Rule"
"less than","mai mic decât","module","Magento_Rule"
"contains","conține","module","Magento_Rule"
"does not contain","nu onține","module","Magento_Rule"
"is one of","este unul din","module","Magento_Rule"
"is not one of","nu este unul din","module","Magento_Rule"
"Please choose a condition to add.","Alegeți o condiție de adăugat.","module","Magento_Rule"
"Add","Adăugați","module","Magento_Rule"
"Remove","ștergeți","module","Magento_Rule"
"ALL","TOATE","module","Magento_Rule"
"ANY","ORICARE","module","Magento_Rule"
"TRUE","ADEVăRAT","module","Magento_Rule"
"FALSE","FALS","module","Magento_Rule"
"If %1 of these conditions are %2:","Dacă %1 din aceste condiții sunt %2:","module","Magento_Rule"
"Conditions Combination","Combinație Condiții","module","Magento_Rule"
"Attribute Set","Set atribute","module","Magento_Rule"
"Category","Categorie","module","Magento_Rule"
"Open Chooser","Deschideți selectorul","module","Magento_Rule"
"Unknown condition operator","Operator condiție necunoscut","module","Magento_Rule"
"There is no information about associated entity type ""%1"".","nu există nici o informație despre tipul de entitate asociat ""%1"".","module","Magento_Rule"
"This won't take long . . .","Nu va dura mult...","module","Magento_Rule"
