"Current store is not active.","Magazinul actual nu este activ.","module","Magento_Store"
"Requested store is inactive","Magazinul solicitat este inactiv.","module","Magento_Store"
"Requested store is not found","Magazinul solicitat nu este găsit","module","Magento_Store"
"Environment emulation nesting is not allowed.","Incorporarea imitării mediuluinu este permisă.","module","Magento_Store"
"Only default scope allowed","Numai domeniul implicit este acceptat.","module","Magento_Store"
"Invalid scope object","Obiect domeniu nevalid.","module","Magento_Store"
"Store with the same code","Magazin cu același cod","module","Magento_Store"
"Website with the same code","Website cu același cod","module","Magento_Store"
"Website code may only contain letters (a-z), numbers (0-9) or underscore (_), and the first character must be a letter.","Codul website-ului poate conține numai litere (a-z), numere (0-9) sau underscore (_), iar primul caracter trebuie să fie o literă.","module","Magento_Store"
"Name is required","Nume necesar","module","Magento_Store"
"The store code may contain only letters (a-z), numbers (0-9) or underscore (_), and the first character must be a letter.","Codul magazinului poate conține numai litere (a-z), numere (0-9) sau underscore (_), iar primul caracter trebuie să fie o literă.","module","Magento_Store"
"Store is inactive","Magazinul este inactiv","module","Magento_Store"
"Default store is inactive","Magazinul implicit este inactiv","module","Magento_Store"
"All Store Views","Toate vizualizările magazinului","module","Magento_Store"
"-- Please Select --","-- Selectați --","module","Magento_Store"
"Admin","Administrator","module","Magento_Store"
"More than one default website is defined","Mai mult de un website implicit definit","module","Magento_Store"
"Default website is not defined","Website-ul implicit nu este definit","module","Magento_Store"
"Your Language:","Limba dumneavoastră:","module","Magento_Store"
"Your Language","Limba dumneavoastră:","module","Magento_Store"
"Language","Limba","module","Magento_Store"
"Select Store","Selectați magazinul","module","Magento_Store"
"Configuration","Configurație","module","Magento_Store"
"Various XML configurations that were collected across modules and merged.","Diverse configurații XML care au fost adunate din module și unite.","module","Magento_Store"
"Layouts","Aspecte","module","Magento_Store"
"Layout building instructions.","Instrucțiuni construire aspecte.","module","Magento_Store"
"Blocks HTML output","Output blocuri HTML","module","Magento_Store"
"Page blocks HTML.","Blocuri pagină HTML.","module","Magento_Store"
"Collections Data","Informații Colecție","module","Magento_Store"
"Collection data files.","Fișiere informații colecție.","module","Magento_Store"
"Reflection Data","Informații în oglindă","module","Magento_Store"
"API interfaces reflection data.","Interfețe API informații în oglindă.","module","Magento_Store"
"Database DDL operations","Operațiuni DDL Bază de date","module","Magento_Store"
"Results of DDL queries, such as describing tables or indexes.","Rezultatele interogărilor DDL, cum ar fi descrierea tabelelor sau indicilor.","module","Magento_Store"
