"Add Tax","Adăugare taxe","module","Magento_Weee"
"Delete Tax","ștergere taxe","module","Magento_Weee"
"All Websites","Toate website-urile","module","Magento_Weee"
"FPT","FPT","module","Magento_Weee"
"We found a duplicate of website, country and state fields for a fixed product tax","S-a găsit o dublură a cțmpurilor website-ului, țării și statului pentru o taxă fixă de produs","module","Magento_Weee"
"Including FPT only","Se include numai FPT","module","Magento_Weee"
"Including FPT and FPT description","Se include FPT și descrierea FPT","module","Magento_Weee"
"Excluding FPT. Including FPT description and final price","Se exclude FPT. Se include descrierea FPT și prețul final","module","Magento_Weee"
"Excluding FPT","Se exclude FPT","module","Magento_Weee"
"label_value' 'label_value' 'frontend_label","valoare_etichetă' 'valoare_etichetă' 'etichetă_intefață","module","Magento_Weee"
"Fixed Product Tax","Taxă produs fixă","module","Magento_Weee"
"Excl. Tax","Fără taxe incluse","module","Magento_Weee"
"Total","Total","module","Magento_Weee"
"Incl. Tax","Cu taxe incluse","module","Magento_Weee"
"Total Incl. Tax","Total cu taxe incluse","module","Magento_Weee"
"Website","Website","module","Magento_Weee"
"Country/State","Tara","module","Magento_Weee"
"Tax","Taxe","module","Magento_Weee"
"Action","Acțiune","module","Magento_Weee"
"Final Price","Preț final","module","Magento_Weee"
"Fixed Product Taxes","Taxe produs fixate","module","Magento_Weee"
"Enable FPT","Activați FPT","module","Magento_Weee"
"Display Prices In Product Lists","Afișați prețurile în Listele de produse","module","Magento_Weee"
"Display Prices On Product View Page","Afișați prețurile pe pagina de vizualizare a produselor","module","Magento_Weee"
"Display Prices In Sales Modules","Afișați prețurile în module de vânzări","module","Magento_Weee"
"Display Prices In Emails","Afișați prețurile în email-uri","module","Magento_Weee"
"Apply Tax To FPT","Aplicați taxa la FPT","module","Magento_Weee"
"Include FPT In Subtotal","Include FPT în Subtotal","module","Magento_Weee"
